employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Whispering Pines,"Aug 29, 2022",0,Non-WARN,Norton,67654,1 - Workforce Investment Area I,"200 Whispering Pines Ave; Norton, Kansas 67654",2172,https://www.kansasworks.com/search/warn_lookups/2172
Almost Home,"Sep 23, 2022",,Non-WARN,Great Bend,67530,1 - Workforce Investment Area I,,2173,https://www.kansasworks.com/search/warn_lookups/2173
Robby's Famous Cheesecake,"Nov 10, 2022",4,Non-WARN,Salina,67401,1 - Workforce Investment Area I,"156 S. Santa Fe; Salina, Kansas 67401",2174,https://www.kansasworks.com/search/warn_lookups/2174
Yoder Smokers,"Nov 14, 2022",8,Non-WARN,Hutchinson,67501,1 - Workforce Investment Area I,"1816 E Wasp Rd; Hutchinson, Kansas 67501",2175,https://www.kansasworks.com/search/warn_lookups/2175
Harper Camperland,"Nov 18, 2022",3,Non-WARN,Great Bend,67530,1 - Workforce Investment Area I,"1200 10th St.; Great Bend, Kansas 67530",2176,https://www.kansasworks.com/search/warn_lookups/2176
Kansas Masonic Home,"Dec 31, 2022",100,Non-WARN,Wichita,67203,4 - Workforce Investment Area IV,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",2177,https://www.kansasworks.com/search/warn_lookups/2177
Matrix Bottles,"Nov 11, 2022",24,Non-WARN,Wichita,67203,4 - Workforce Investment Area IV,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",2178,https://www.kansasworks.com/search/warn_lookups/2178
Masterbrand,"Dec 05, 2022",458,WARN,Newton,67114,1 - Workforce Investment Area I,"900 S. Meridian; Newton, Kansas 67114",2179,https://www.kansasworks.com/search/warn_lookups/2179
"VVF Kansas Services, LLC","Dec 12, 2022",,WARN,Kansas City,66105,3 - Workforce Investment Area III,,2180,https://www.kansasworks.com/search/warn_lookups/2180
Logan's Roadhouse,"Oct 18, 2022",25,Non-WARN,Wichita,67205,4 - Workforce Investment Area IV,"2424 N. Maize Road; Wichita, Kansas 67205",2198,https://www.kansasworks.com/search/warn_lookups/2198
Christopher & Banks,"Jan 20, 2021",4,Non-WARN,,,1 - Workforce Investment Area I,,2133,https://www.kansasworks.com/search/warn_lookups/2133
Christopher & Banks,"Jan 01, 2021",15,Non-WARN,,,4 - Workforce Investment Area IV,,2134,https://www.kansasworks.com/search/warn_lookups/2134
Northern Sun,"Feb 03, 2021",47,Non-WARN,Goodland,67735,1 - Workforce Investment Area I,"6425 Rd. 14; Goodland, Kansas 67735",2136,https://www.kansasworks.com/search/warn_lookups/2136
Chemstar,"Jan 28, 2021",,Non-WARN,Mcpherson,67460,1 - Workforce Investment Area I,,2138,https://www.kansasworks.com/search/warn_lookups/2138
Christopher & Banks,"Jan 26, 2021",6,Non-WARN,Salina,67401,1 - Workforce Investment Area I,"2259 S. 9th; Salina, Kansas 67401",2131,https://www.kansasworks.com/search/warn_lookups/2131
Christopher & Banks,"Jan 20, 2021",6,Non-WARN,Liberal,67901,1 - Workforce Investment Area I,"1505 Kansas Ave.; Liberal, Kansas 67901",2132,https://www.kansasworks.com/search/warn_lookups/2132
Learjet,"Apr 07, 2021",206,WARN,Wichita,67209,4 - Workforce Investment Area IV,"One Learjet Way; Wichita, Kansas 67209",2142,https://www.kansasworks.com/search/warn_lookups/2142
GE Aviation,"Apr 08, 2021",14,Non-WARN,Arkansas City,67005,4 - Workforce Investment Area IV,"Strother Fld, Arkansas City, KS 67005; Arkansas City, Kansas 67005",2141,https://www.kansasworks.com/search/warn_lookups/2141
"Forest River, Inc.","Mar 08, 2021",146,WARN,Salina,67401,1 - Workforce Investment Area I,"1655 Wall Street; Salina, Kansas 67401",2140,https://www.kansasworks.com/search/warn_lookups/2140
Siemems Gamesa,"Apr 14, 2021",40,Non-WARN,Hutchinson,67501,1 - Workforce Investment Area I,"1000 Commerce St.; Hutchinson, Kansas 67501",2143,https://www.kansasworks.com/search/warn_lookups/2143
Medova Healthcare,"May 27, 2021",,WARN,Wichita,67226,4 - Workforce Investment Area IV,,2144,https://www.kansasworks.com/search/warn_lookups/2144
Penny's Caravan,"May 27, 2021",10,Non-WARN,Wichita,67204,4 - Workforce Investment Area IV,"2260 Coolidge Ave; Wichita, Kansas 67204",2145,https://www.kansasworks.com/search/warn_lookups/2145
Scholfield Hatchett Body Shop,"May 18, 2021",35,Non-WARN,Wichita,67207,4 - Workforce Investment Area IV,"11516 E Kellogg Dr N; Wichita, Kansas 67207",2146,https://www.kansasworks.com/search/warn_lookups/2146
"Chewy, Inc.","Jun 10, 2021",162,WARN,Edgerton,66021,3 - Workforce Investment Area III,"30901 W. 191st Street; Edgerton, Kansas 66021",2147,https://www.kansasworks.com/search/warn_lookups/2147
